item_code,quantity,cost_price,description
12504,3,41.00,CHARCOAL GREY MARKER: 2-0X1-2X0-4 PT/ SS
12516,3,182.00,"PEARL BLACK SLANT: 2-0X1-0X1-6 ALL POL FLAT TOP (2"" TOP 3"" BOTTOM NOSE)"
12725,3,68.00,"INDIA PINK MARKER FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT BRP  W/ FOUR 1"" dia. Thru Holes & ONE 6"" dia vasehole as per template"
13281,3,330.00,"CAPPUCCINO DIE: 1-8X0-8X2-8 POL5 SERP TOP (1/4"" TOLERANCE)"
13282,3,118.50,"CAPPUCCINO BASE: 2-0X0-10X0-10 PT, SAWN BACK, BRP (1/4"" TOLERANCE)"
13687,3,135.33,DELUXE GREY DIE: 2-0X0-8X2-4 POL5 SERP TOP
13737,3,321.00,SOUTH AFRICAN IMPALA DIE: 1-8X0-8X2-8 POL 5 SERP TOP
14570,3,196.00,"ROYAL PINK BASE: 4-0X1-0X0-8 PT/ 2"" POL MRG/BRP"
14592,3,139.50,ROYAL PINK DIE: 1-8X0-8X2-0 POL5 SERP
15298,3,158.00,DELUXE GREY DIE: 1-8X0-8X3-0 POL5 SERP TOP
15305,3,98.00,"DELUXE GREY SLANT: 2-0X0-10X1-4 POL 1 SERP TOP (POLISHED FACE/ ROCK PITCH TOP, ENDS AND FRONT NOSING/ SAWN BACK"
15312,3,260.00,"DELUXE GREY LEDGER: 2-4X6-0X0-6 PT, BRP, 2"" POL MARGIN  WITH 46"" x 16"" CUT-THRU PER TEMPLATE"
15340,3,107.00,"ROYAL PINK SLANT: 2-0X1-0X1-0 POL 1 OVAL TOP ( POLISHED FACE/ 2"" STEELED OVAL TOP- 1"" DROP/ SAWN BACK/ 3"" ROCK PTCH BOTTOM NOSE/ ROCK PITCH ENDS (AS PER DIAGRAM)"
1021,2,132.00,"BLACK BASE: 3-0X1-0X0-8 PT BRP 2"" POL MARGIN"
1075,2,277.00,BLACK DIE: 1-10X0-8X2-4 ALL POL STACKED HEART
1083,2,300.00,BLACK DIE: 1-10X0-8X2-6 ALL POL HEART (AS PER TEMPLATE)
1170,2,244.00,BLACK DIE: 2-6X0-8X2-2 POL5 SERP TOP
1183,2,270.00,BLACK DIE: 3-0X0-8X2-0 POL 5 SERP TOP
1184,2,306.00,BLACK DIE: 3-0X0-8X2-2 POL5 SERP TOP
1189,2,315.00,BLACK DIE: 3-0X0-8X2-4 POL 5 SERP TOP
1192,2,352.00,BLACK DIE: 3-0X0-8X2-6 POL 5 SERP TOP
1206,2,383.00,BLACK DIE: 3-6X0-8X2-4 POL 5 SERP TOP
1255,2,110.00,BLACK BASE: 2-0X1-0X1-0 PT BRP
1256,2,102.00,BLACK BASE: 2-0X1-0X1-0 ALL POL
1299,2,137.00,BLACK BASE: 3-0X1-2X0-8 PT BRP
1304,2,116.00,BLACK BASE: 3-4X1-0X0-6 ALL POL
1310,2,130.00,BLACK BASE: 3-6X1-0X0-8 PT BRP
1313,2,172.00,BLACK BASE:3-6X1-2X0-8 PT BRP
1314,2,184.00,"BLACK BASE: 3-6X1-2X0-8 PT BRP 2"" POL MARGIN"
1332,2,220.00,BLACK BASE: 4-0X1-0X1-0 PT BRP
1392,2,247.00,"IMPERIAL PINK DIE: 1-8X0-8X2-0 POL 5 SERP TOP (¼"" TOLERANCE)"
1408,2,120.00,"IMPERIAL PINK BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
1432,2,220.00,INDIA RED DIE: 1-8X0-8X2-4 POL 5 SERP
1447,2,240.00,INDIA RED DIE: 1-10X0-8X2-4 POL 5 SERP TOP
1460,2,262.00,INDIA RED DIE:  2-0X0-8X2-4 POL 5 SERP TOP
1464,2,310.00,INDIA RED DIE: 2-0X0-8X2-9 POL 5 SERP
1477,2,364.00,INDIA RED DIE: 3-0X0-8X2-4 POL 5 SERP TOP
1538,2,168.00,INDIA RED BASE: 3-6X1-2X0-8 PT BRP
1558,2,200.00,"BLUE DIE: 1-8X0-8X2-8 POL 5 SERP TOP (¼"" TOLERANCE)"
1579,2,353.00,BAHAMA BLUE DIE: 3-0X0-8X2-6 POL 5 SERP TOP
1584,2,78.00,"BLUE BASE: 2-0X0-10X0-10 PT SB BRP (¼"" TOLERANCE)"
1585,2,64.00,BLUE BASE:  2-0X1-0X0-6 PT BRP
